GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netex-java-model,org.rutebanken.netex.model,PassengerCapacities_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,DestinationDisplayRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,Composite_VersionFrameStructure,187,6,6,0,68,2,36,2,33,2
netex-java-model,org.rutebanken.netex.model,MonitoredCalls_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,ArrivalStructure,211,0,0,0,87,0,53,0,53,0
netex-java-model,org.rutebanken.netex.model,PassengerCarryingRequirementsView,161,0,6,0,57,0,31,0,28,0
netex-java-model,org.rutebanken.netex.model,PointsOnRoute_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,VehicleService,141,0,6,0,49,0,27,0,24,0
netex-java-model,org.rutebanken.netex.model,TypeOfPricingRule_VersionStructure,168,0,6,0,60,0,33,0,30,0
netex-java-model,org.rutebanken.netex.model,FareContractRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,FareBasisEnumeration,31,34,4,0,5,6,4,2,2,2
netex-java-model,org.rutebanken.netex.model,FareContractSecurityListingRefs_RelStructure,62,0,8,0,16,0,11,0,7,0
netex-java-model,org.rutebanken.netex.model,ControllableElementPrices_RelStructure,57,0,8,0,14,0,10,0,6,0
netex-java-model,org.rutebanken.netex.model,DefaultServiceJourneyTimeRef,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,VehicleStoppingPosition,459,0,18,0,163,0,87,0,78,0
netex-java-model,org.rutebanken.netex.model,PointOfInterestSpaceTypeEnumeration,31,441,4,0,5,43,4,2,2,2
netex-java-model,org.rutebanken.netex.model,FareDayTypeRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,TrainNumberRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,ClassInFrameStructure,79,0,0,0,32,0,20,0,20,0
netex-java-model,org.rutebanken.netex.model,TypeOfFareTable_VersionStructure,156,0,6,0,55,0,30,0,27,0
netex-java-model,org.rutebanken.netex.model,PointOnSection_VersionedChildStructure,179,0,6,0,65,0,37,0,34,0
netex-java-model,org.rutebanken.netex.model,TrolleyStandEquipmentRefStructure,47,0,0,0,18,0,10,0,10,0
netex-java-model,org.rutebanken.netex.model,PassengerAccessibilityNeedsStructure.Suitabilities,52,0,8,0,12,0,9,0,5,0
netex-java-model,org.rutebanken.netex.model,ParkingArea_VersionStructure,415,0,20,0,144,0,78,0,68,0
netex-java-model,org.rutebanken.netex.model,Blacklist,151,0,6,0,53,0,29,0,26,0
netex-java-model,org.rutebanken.netex.model,GroupOfEntities_VersionStructure,187,11,6,0,68,5,39,3,36,3
netex-java-model,org.rutebanken.netex.model,CycleStorageEquipment,191,0,6,0,69,0,37,0,34,0
netex-java-model,org.rutebanken.netex.model,Organisation_VersionStructure.Parts,51,0,6,0,13,0,9,0,6,0
netex-java-model,org.rutebanken.netex.model,PlaceUseEnumeration,31,67,4,0,5,9,4,2,2,2
netex-java-model,org.rutebanken.netex.model,NuisanceFacilityEnumeration,31,111,4,0,5,13,4,2,2,2
